outcomes,bet_price,title,date
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Jeb Bush,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Tammy Duckworth,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-10 19:13:53.289298
Donald Trump,225.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Kamala Harris,600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Bernie Sanders,650.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Joe Biden,700.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Beto O'Rourke,1000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Amy Klobuchar,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Elizabeth Warren,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Kirsten Gillibrand,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Mike Pence,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tulsi Gabbard,4000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Andrew Yang,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Mark Cuban,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Michelle Obama,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Nikki Haley,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Oprah Winfrey,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Joe Kennedy III,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Paul Ryan,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Pete Buttigieg,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Hillary Clinton,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Jeb Bush,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tammy Duckworth,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 09:10:32.001687
Donald Trump,225.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Kamala Harris,600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Bernie Sanders,650.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Joe Biden,700.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Beto O'Rourke,1000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Amy Klobuchar,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Elizabeth Warren,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Kirsten Gillibrand,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Mike Pence,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tulsi Gabbard,4000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Andrew Yang,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Mark Cuban,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Michelle Obama,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Nikki Haley,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Oprah Winfrey,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Joe Kennedy III,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Paul Ryan,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Pete Buttigieg,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Hillary Clinton,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Jeb Bush,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tammy Duckworth,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-11 15:19:05.310718
Donald Trump,230.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Bernie Sanders,600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Kamala Harris,600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Joe Biden,700.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Beto O'Rourke,1000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Amy Klobuchar,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Elizabeth Warren,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Andrew Yang,3000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Kirsten Gillibrand,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Mike Pence,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tulsi Gabbard,4000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Mark Cuban,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Michelle Obama,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Nikki Haley,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Pete Buttigieg,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Oprah Winfrey,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Joe Kennedy III,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Paul Ryan,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Hillary Clinton,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Jeb Bush,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tammy Duckworth,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-12 08:43:47.151111
Donald Trump,230.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Bernie Sanders,600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Kamala Harris,600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Joe Biden,700.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Beto O'Rourke,1000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Andrew Yang,2000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Amy Klobuchar,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Elizabeth Warren,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Kirsten Gillibrand,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Mike Pence,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tulsi Gabbard,4000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Mark Cuban,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Michelle Obama,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Nikki Haley,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Pete Buttigieg,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Oprah Winfrey,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Dwayne 'The Rock' Johnson,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Joe Kennedy III,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Paul Ryan,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Hillary Clinton,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Jeb Bush,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tammy Duckworth,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-03-15 08:58:01.523082
Donald Trump,230.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Bernie Sanders,600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Kamala Harris,600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Joe Biden,700.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Beto O'Rourke,1000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Andrew Yang,2000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Amy Klobuchar,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Elizabeth Warren,2500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Kirsten Gillibrand,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Mike Pence,3300.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Tulsi Gabbard,4000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Mark Cuban,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Michelle Obama,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Nikki Haley,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Pete Buttigieg,5000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Oprah Winfrey,7500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Dwayne 'The Rock' Johnson,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Joe Kennedy III,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Paul Ryan,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Hillary Clinton,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-03-18 09:26:08.083569
